currency_code,sub_total,schedule_next_scheduled_date,schedule_period,schedule_unit,schedule_due_date,schedule_due_date_type
USD,240.0,44989.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,180.0,44946.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44931.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45050.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44952.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44931.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44980.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44966.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44972.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44985.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45015.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44975.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45001.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45047.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45003.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44986.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45048.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44987.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44952.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44952.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44944.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45001.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45050.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44966.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45048.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
