currency_code,sub_total,schedule_next_scheduled_date,schedule_period,schedule_unit,schedule_due_date,schedule_due_date_type
GBP,195,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,1470,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,960,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,540,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,525,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,750,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,750,2023-01-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,360,2023-01-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,540,2023-01-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,285,2023-01-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,525,2023-01-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,285,2023-01-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,285,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,270,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,495,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,495,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,450,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,825,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,270,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,690,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,270,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,1020,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,270,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-05 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,360,2023-01-05 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,750,2023-01-05 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,22162.56,2023-01-05 00:00:00,1,MONTHLY,14,DAYSAFTERBILLDATE
GBP,195,2023-01-05 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,750,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,270,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,360,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,540,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,285,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,495,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,195,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,105,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,360,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,195,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,270,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,195,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
GBP,2580,2023-01-06 00:00:00,12,MONTHLY,7,DAYSAFTERBILLDATE
