current_date,amount_in_bank
2023-01-01 00:00:00,1091.0
2023-01-02 00:00:00,3570.0
2023-01-03 00:00:00,5354.0
2023-01-04 00:00:00,6938.0
2023-01-05 00:00:00,9017.0
2023-01-06 00:00:00,10701.0
2023-01-07 00:00:00,11989.0
2023-01-08 00:00:00,14370.0
2023-01-09 00:00:00,23983.85
2023-01-10 00:00:00,28973.0
2023-01-11 00:00:00,39054.8
2023-01-12 00:00:00,44879.1
2023-01-13 00:00:00,63384.85
2023-01-14 00:00:00,78676.15
2023-01-15 00:00:00,91863.3
2023-01-16 00:00:00,107433.2
2023-01-17 00:00:00,119056.1
2023-01-18 00:00:00,126669.15
2023-01-19 00:00:00,167031.17
2023-01-20 00:00:00,203234.57
2023-01-21 00:00:00,215974.17
2023-01-22 00:00:00,221338.82
2023-01-23 00:00:00,224295.82
2023-01-24 00:00:00,227614.82
2023-01-25 00:00:00,230950.82
2023-01-26 00:00:00,232787.82
2023-01-27 00:00:00,235393.82
2023-01-28 00:00:00,238549.82
2023-01-29 00:00:00,241901.82
2023-01-30 00:00:00,244986.82
2023-01-31 00:00:00,249151.82
2023-02-01 00:00:00,251284.82
2023-02-02 00:00:00,253245.82
2023-02-03 00:00:00,256744.82
2023-02-04 00:00:00,259233.82
2023-02-05 00:00:00,261087.82
2023-02-06 00:00:00,263661.82
2023-02-07 00:00:00,265345.82
2023-02-08 00:00:00,266633.82
2023-02-09 00:00:00,269014.82
2023-02-10 00:00:00,271941.82
2023-02-11 00:00:00,274218.82
2023-02-12 00:00:00,276495.82
2023-02-13 00:00:00,279865.82
2023-02-14 00:00:00,284600.82
2023-02-15 00:00:00,288095.82
2023-02-16 00:00:00,290557.82
2023-02-17 00:00:00,294801.82
2023-02-18 00:00:00,297029.02
2023-02-19 00:00:00,326518.64
2023-02-20 00:00:00,329547.64
2023-02-21 00:00:00,333243.64
2023-02-22 00:00:00,336322.64
2023-02-23 00:00:00,339429.64
2023-02-24 00:00:00,343271.64
2023-02-25 00:00:00,346485.64
2023-02-26 00:00:00,349779.64
2023-02-27 00:00:00,352216.64
2023-02-28 00:00:00,353703.64
2023-03-01 00:00:00,366792.64
2023-03-02 00:00:00,369825.64
2023-03-03 00:00:00,371453.64
2023-03-04 00:00:00,374619.64
2023-03-05 00:00:00,376763.64
2023-03-06 00:00:00,379424.64
2023-03-07 00:00:00,382343.64
2023-03-08 00:00:00,384507.64
2023-03-09 00:00:00,386647.64
2023-03-10 00:00:00,389028.64
2023-03-11 00:00:00,392045.64
2023-03-12 00:00:00,394322.64
2023-03-13 00:00:00,396869.64
2023-03-14 00:00:00,400974.64
2023-03-15 00:00:00,405679.64
2023-03-16 00:00:00,409534.64
2023-03-17 00:00:00,412176.64
2023-03-18 00:00:00,414843.84
2023-03-19 00:00:00,444392.46
2023-03-20 00:00:00,446178.46
2023-03-21 00:00:00,449057.46
2023-03-22 00:00:00,453080.46
2023-03-23 00:00:00,456780.46
2023-03-24 00:00:00,459686.46
2023-03-25 00:00:00,462853.46
2023-03-26 00:00:00,465977.46
2023-03-27 00:00:00,469076.46
2023-03-28 00:00:00,471273.46
2023-03-29 00:00:00,472760.46
2023-03-30 00:00:00,473624.46
2023-03-31 00:00:00,474656.46
2023-04-01 00:00:00,474926.46
2023-04-02 00:00:00,486950.46
2023-04-03 00:00:00,489443.46
2023-04-04 00:00:00,490684.46
2023-04-05 00:00:00,493463.46
