current_date,amount_in_bank
2023-01-01 00:00:00,1091.0
2023-01-02 00:00:00,2479.0
2023-01-03 00:00:00,2974.0
2023-01-04 00:00:00,4063.0
2023-01-05 00:00:00,5053.0
2023-01-06 00:00:00,5747.0
2023-01-07 00:00:00,6341.0
2023-01-08 00:00:00,8128.0
2023-01-09 00:00:00,9217.0
2023-01-10 00:00:00,10405.0
2023-01-11 00:00:00,11593.0
2023-01-12 00:00:00,13775.0
2023-01-13 00:00:00,16058.0
2023-01-14 00:00:00,16850.0
2023-01-15 00:00:00,18040.0
2023-01-16 00:00:00,19228.0
2023-01-17 00:00:00,19921.0
2023-01-18 00:00:00,21014.0
2023-01-19 00:00:00,22800.0
2023-01-20 00:00:00,23990.0
2023-01-21 00:00:00,25279.0
2023-01-22 00:00:00,26467.0
2023-01-23 00:00:00,27756.0
2023-01-24 00:00:00,29342.0
2023-01-25 00:00:00,30435.0
2023-01-26 00:00:00,31029.0
2023-01-27 00:00:00,31922.0
2023-01-28 00:00:00,34035.0
2023-01-29 00:00:00,34530.0
2023-01-30 00:00:00,36421.0
2023-01-31 00:00:00,38455.0
2023-02-01 00:00:00,38455.0
2023-02-02 00:00:00,39546.0
2023-02-03 00:00:00,40934.0
2023-02-04 00:00:00,41429.0
2023-02-05 00:00:00,42518.0
2023-02-06 00:00:00,43508.0
2023-02-07 00:00:00,44202.0
2023-02-08 00:00:00,44796.0
2023-02-09 00:00:00,46583.0
2023-02-10 00:00:00,47672.0
2023-02-11 00:00:00,48860.0
2023-02-12 00:00:00,50048.0
2023-02-13 00:00:00,52230.0
2023-02-14 00:00:00,54513.0
2023-02-15 00:00:00,55305.0
2023-02-16 00:00:00,56495.0
2023-02-17 00:00:00,57683.0
2023-02-18 00:00:00,58376.0
2023-02-19 00:00:00,59469.0
2023-02-20 00:00:00,61255.0
2023-02-21 00:00:00,62445.0
2023-02-22 00:00:00,63734.0
2023-02-23 00:00:00,64922.0
2023-02-24 00:00:00,66211.0
2023-02-25 00:00:00,67797.0
2023-02-26 00:00:00,68890.0
2023-02-27 00:00:00,69484.0
2023-02-28 00:00:00,70377.0
2023-03-01 00:00:00,76910.0
2023-03-02 00:00:00,76910.0
2023-03-03 00:00:00,78001.0
2023-03-04 00:00:00,79389.0
2023-03-05 00:00:00,79884.0
2023-03-06 00:00:00,80973.0
2023-03-07 00:00:00,81963.0
2023-03-08 00:00:00,82657.0
2023-03-09 00:00:00,83251.0
2023-03-10 00:00:00,85038.0
2023-03-11 00:00:00,86127.0
2023-03-12 00:00:00,87315.0
2023-03-13 00:00:00,88503.0
2023-03-14 00:00:00,90685.0
2023-03-15 00:00:00,92968.0
2023-03-16 00:00:00,93760.0
2023-03-17 00:00:00,94950.0
2023-03-18 00:00:00,96138.0
2023-03-19 00:00:00,96831.0
2023-03-20 00:00:00,97924.0
2023-03-21 00:00:00,99710.0
2023-03-22 00:00:00,100900.0
2023-03-23 00:00:00,102189.0
2023-03-24 00:00:00,103377.0
2023-03-25 00:00:00,104666.0
2023-03-26 00:00:00,106252.0
2023-03-27 00:00:00,107345.0
2023-03-28 00:00:00,107939.0
2023-03-29 00:00:00,108832.0
2023-03-30 00:00:00,108832.0
2023-03-31 00:00:00,108832.0
2023-04-01 00:00:00,108832.0
2023-04-02 00:00:00,115365.0
2023-04-03 00:00:00,115365.0
2023-04-04 00:00:00,116456.0
2023-04-05 00:00:00,117844.0
2023-04-06 00:00:00,118339.0
2023-04-07 00:00:00,119428.0
2023-04-08 00:00:00,120418.0
2023-04-09 00:00:00,121112.0
2023-04-10 00:00:00,121706.0
2023-04-11 00:00:00,123493.0
2023-04-12 00:00:00,124582.0
2023-04-13 00:00:00,125770.0
2023-04-14 00:00:00,126958.0
2023-04-15 00:00:00,129140.0
2023-04-16 00:00:00,131423.0
2023-04-17 00:00:00,132215.0
2023-04-18 00:00:00,133405.0
2023-04-19 00:00:00,134593.0
2023-04-20 00:00:00,135286.0
2023-04-21 00:00:00,136379.0
2023-04-22 00:00:00,138165.0
2023-04-23 00:00:00,139355.0
2023-04-24 00:00:00,140644.0
2023-04-25 00:00:00,141832.0
2023-04-26 00:00:00,143121.0
2023-04-27 00:00:00,144707.0
2023-04-28 00:00:00,145800.0
2023-04-29 00:00:00,146394.0
2023-04-30 00:00:00,147287.0
2023-05-01 00:00:00,147287.0
2023-05-02 00:00:00,147287.0
2023-05-03 00:00:00,153820.0
2023-05-04 00:00:00,153820.0
2023-05-05 00:00:00,154911.0
2023-05-06 00:00:00,156299.0
2023-05-07 00:00:00,156794.0
2023-05-08 00:00:00,157883.0
2023-05-09 00:00:00,158873.0
2023-05-10 00:00:00,159567.0
2023-05-11 00:00:00,160161.0
2023-05-12 00:00:00,161948.0
2023-05-13 00:00:00,163037.0
2023-05-14 00:00:00,164225.0
2023-05-15 00:00:00,165413.0
2023-05-16 00:00:00,167595.0
2023-05-17 00:00:00,169878.0
2023-05-18 00:00:00,170670.0
2023-05-19 00:00:00,171860.0
2023-05-20 00:00:00,173048.0
2023-05-21 00:00:00,173741.0
2023-05-22 00:00:00,174834.0
2023-05-23 00:00:00,176620.0
2023-05-24 00:00:00,177810.0
2023-05-25 00:00:00,179099.0
2023-05-26 00:00:00,180287.0
2023-05-27 00:00:00,181576.0
2023-05-28 00:00:00,183162.0
2023-05-29 00:00:00,184255.0
2023-05-30 00:00:00,184849.0
2023-05-31 00:00:00,185742.0
2023-06-01 00:00:00,185742.0
2023-06-02 00:00:00,185742.0
2023-06-03 00:00:00,185742.0
2023-06-04 00:00:00,192275.0
2023-06-05 00:00:00,192275.0
2023-06-06 00:00:00,193366.0
2023-06-07 00:00:00,194754.0
2023-06-08 00:00:00,195249.0
2023-06-09 00:00:00,196338.0
2023-06-10 00:00:00,197328.0
2023-06-11 00:00:00,198022.0
2023-06-12 00:00:00,198616.0
2023-06-13 00:00:00,200403.0
2023-06-14 00:00:00,201492.0
2023-06-15 00:00:00,202680.0
2023-06-16 00:00:00,203868.0
2023-06-17 00:00:00,206050.0
2023-06-18 00:00:00,208333.0
2023-06-19 00:00:00,209125.0
2023-06-20 00:00:00,210315.0
2023-06-21 00:00:00,211503.0
2023-06-22 00:00:00,212196.0
2023-06-23 00:00:00,213289.0
2023-06-24 00:00:00,215075.0
2023-06-25 00:00:00,216265.0
2023-06-26 00:00:00,217554.0
2023-06-27 00:00:00,218742.0
2023-06-28 00:00:00,220031.0
2023-06-29 00:00:00,221617.0
2023-06-30 00:00:00,222710.0
2023-07-01 00:00:00,224197.0
2023-07-02 00:00:00,224197.0
2023-07-03 00:00:00,224197.0
2023-07-04 00:00:00,224197.0
2023-07-05 00:00:00,230730.0
2023-07-06 00:00:00,230730.0
2023-07-07 00:00:00,231821.0
2023-07-08 00:00:00,233209.0
2023-07-09 00:00:00,233704.0
2023-07-10 00:00:00,234793.0
2023-07-11 00:00:00,235783.0
2023-07-12 00:00:00,236477.0
2023-07-13 00:00:00,237071.0
2023-07-14 00:00:00,238858.0
2023-07-15 00:00:00,239947.0
2023-07-16 00:00:00,241135.0
2023-07-17 00:00:00,242323.0
2023-07-18 00:00:00,244505.0
2023-07-19 00:00:00,246788.0
2023-07-20 00:00:00,247580.0
2023-07-21 00:00:00,248770.0
2023-07-22 00:00:00,249958.0
2023-07-23 00:00:00,250651.0
2023-07-24 00:00:00,251744.0
2023-07-25 00:00:00,253530.0
2023-07-26 00:00:00,254720.0
