current_date,amount_in_bank
2023-01-01 00:00:00,0
2023-01-02 00:00:00,0
2023-01-03 00:00:00,0
2023-01-04 00:00:00,0
2023-01-05 00:00:00,0
2023-01-06 00:00:00,0
2023-01-07 00:00:00,0
2023-01-08 00:00:00,0
2023-01-09 00:00:00,324.0
2023-01-10 00:00:00,324.0
2023-01-11 00:00:00,1044.0
2023-01-12 00:00:00,1764.0
2023-01-13 00:00:00,2982.0
2023-01-14 00:00:00,3132.0
2023-01-15 00:00:00,3507.0
2023-01-16 00:00:00,3747.0
2023-01-17 00:00:00,4227.0
2023-01-18 00:00:00,5337.0
2023-01-19 00:00:00,5709.0
2023-01-20 00:00:00,6366.0
2023-01-21 00:00:00,7623.0
2023-01-22 00:00:00,7983.0
2023-01-23 00:00:00,8463.0
2023-01-24 00:00:00,8808.0
2023-01-25 00:00:00,9465.0
2023-01-26 00:00:00,9615.0
2023-01-27 00:00:00,10734.0
2023-01-28 00:00:00,10884.0
2023-01-29 00:00:00,11628.0
2023-01-30 00:00:00,12228.0
2023-01-31 00:00:00,12468.0
2023-02-01 00:00:00,12468.0
2023-02-02 00:00:00,13338.0
2023-02-03 00:00:00,14358.0
2023-02-04 00:00:00,15063.0
2023-02-05 00:00:00,15333.0
2023-02-06 00:00:00,15828.0
2023-02-07 00:00:00,15828.0
2023-02-08 00:00:00,15828.0
2023-02-09 00:00:00,15828.0
2023-02-10 00:00:00,15978.0
2023-02-11 00:00:00,15978.0
2023-02-12 00:00:00,15978.0
2023-02-13 00:00:00,15978.0
2023-02-14 00:00:00,16248.0
2023-02-15 00:00:00,16668.0
2023-02-16 00:00:00,17148.0
2023-02-17 00:00:00,19014.0
2023-02-18 00:00:00,19311.0
2023-02-19 00:00:00,19719.0
2023-02-20 00:00:00,19869.0
2023-02-21 00:00:00,20589.0
2023-02-22 00:00:00,21189.0
2023-02-23 00:00:00,21819.0
2023-02-24 00:00:00,23184.0
2023-02-25 00:00:00,23424.0
2023-02-26 00:00:00,24039.0
2023-02-27 00:00:00,24789.0
2023-02-28 00:00:00,24789.0
2023-03-01 00:00:00,25854.0
2023-03-02 00:00:00,26754.0
2023-03-03 00:00:00,27291.0
2023-03-04 00:00:00,27978.0
2023-03-05 00:00:00,28338.0
2023-03-06 00:00:00,29415.0
2023-03-07 00:00:00,30255.0
2023-03-08 00:00:00,30735.0
2023-03-09 00:00:00,31587.0
2023-03-10 00:00:00,31587.0
2023-03-11 00:00:00,31827.0
2023-03-12 00:00:00,31827.0
2023-03-13 00:00:00,32097.0
2023-03-14 00:00:00,32832.0
2023-03-15 00:00:00,33072.0
2023-03-16 00:00:00,33852.0
2023-03-17 00:00:00,34512.0
2023-03-18 00:00:00,34752.0
2023-03-19 00:00:00,35124.0
2023-03-20 00:00:00,35124.0
2023-03-21 00:00:00,35124.0
2023-03-22 00:00:00,36171.0
2023-03-23 00:00:00,37392.0
2023-03-24 00:00:00,37821.0
2023-03-25 00:00:00,38511.0
2023-03-26 00:00:00,38661.0
2023-03-27 00:00:00,39081.0
2023-03-28 00:00:00,39591.0
2023-03-29 00:00:00,39591.0
2023-03-30 00:00:00,40455.0
2023-03-31 00:00:00,41487.0
2023-04-01 00:00:00,41757.0
2023-04-02 00:00:00,41757.0
2023-04-03 00:00:00,42117.0
