currency,price,period_start,period_end,next_billing_date
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,99.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,103.95,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
USD,107.07,2023-02-01 00:00:00,2023-03-03 00:00:00,2023-03-04 00:00:00
USD,110.28,2023-03-04 00:00:00,2023-04-03 00:00:00,2023-04-04 00:00:00
USD,113.59,2023-04-04 00:00:00,2023-05-04 00:00:00,2023-05-05 00:00:00
USD,117.0,2023-05-05 00:00:00,2023-06-04 00:00:00,2023-06-05 00:00:00
USD,120.51,2023-06-05 00:00:00,2023-07-05 00:00:00,2023-07-06 00:00:00
USD,124.13,2023-07-06 00:00:00,2023-08-05 00:00:00,2023-08-06 00:00:00
USD,127.85,2023-08-06 00:00:00,2023-09-05 00:00:00,2023-09-06 00:00:00
USD,131.69,2023-09-06 00:00:00,2023-10-06 00:00:00,2023-10-07 00:00:00
USD,135.64,2023-10-07 00:00:00,2023-11-06 00:00:00,2023-11-07 00:00:00
USD,139.71,2023-11-07 00:00:00,2023-12-07 00:00:00,2023-12-08 00:00:00
USD,299.0,2022-12-01 00:00:00,2022-12-31 00:00:00,2023-01-01 00:00:00
USD,303.48,2023-01-01 00:00:00,2023-01-31 00:00:00,2023-02-01 00:00:00
